MAT-53	[1, 2, 4]
MAT-65	[0, 1, 4]
MAT-90	[2, 2, 3]
MAT-88	[0, 3, 4]
MAT-73	[1, 0, 3]
MAT-14	[0, 0, 4]
MAT-65	[0, 1, 4]
MAT-53	[1, 2, 4]
MAT-73	[1, 0, 3]
MAT-77	[0, 2, 4]
MAT-90	[2, 2, 3]
MAT-45	[1, 3, 4]
MAT-53	[1, 2, 4]
MAT-14	[0, 0, 4]
MAT-65	[0, 1, 4]
MAT-90	[2, 2, 3]
MAT-65	[0, 1, 4]
MAT-90	[2, 2, 3]
MAT-73	[1, 0, 3]
MAT-73	[1, 0, 3]
MAT-73	[1, 0, 3]
MAT-73	[1, 0, 3]
MAT-65	[0, 1, 4]
MAT-90	[2, 2, 3]
MAT-73	[1, 0, 3]
MAT-52	[1, 3, 3]
MAT-88	[0, 3, 4]
MAT-81	[2, 1, 3]
MAT-45	[1, 3, 4]
MAT-90	[2, 2, 3]
MAT-90	[2, 2, 3]
MAT-52	[1, 3, 3]
MAT-84	[0, 0, 2]
MAT-53	[1, 2, 4]
MAT-65	[0, 1, 4]
MAT-65	[0, 1, 4]
MAT-73	[1, 0, 3]
MAT-14	[0, 0, 4]
MAT-53	[1, 2, 4]
MAT-77	[0, 2, 4]
MAT-73	[1, 0, 3]
MAT-88	[0, 3, 4]
MAT-45	[1, 3, 4]
MAT-73	[1, 0, 3]
MAT-88	[0, 3, 4]
MAT-73	[1, 0, 3]
MAT-77	[0, 2, 4]
MAT-45	[1, 3, 4]
MAT-77	[0, 2, 4]
MAT-73	[1, 0, 3]
