MAT-33	[1, 2, 3]
MAT-15	[0, 1, 2]
MAT-45	[1, 3, 4]
MAT-33	[1, 2, 3]
MAT-3	[0, 2, 3]
MAT-45	[1, 3, 4]
MAT-14	[0, 0, 4]
MAT-3	[0, 2, 3]
MAT-14	[0, 0, 4]
MAT-0	[0, 0, 1]
MAT-33	[1, 2, 3]
MAT-33	[1, 2, 3]
MAT-0	[0, 0, 1]
MAT-33	[1, 2, 3]
MAT-33	[1, 2, 3]
MAT-14	[0, 0, 4]
MAT-14	[0, 0, 4]
MAT-14	[0, 0, 4]
MAT-15	[0, 1, 2]
MAT-14	[0, 0, 4]
MAT-3	[0, 2, 3]
MAT-26	[1, 0, 2]
MAT-15	[0, 1, 2]
MAT-33	[1, 2, 3]
MAT-45	[1, 3, 4]
MAT-33	[1, 2, 3]
MAT-33	[1, 2, 3]
MAT-14	[0, 0, 4]
MAT-14	[0, 0, 4]
MAT-26	[1, 0, 2]
MAT-15	[0, 1, 2]
MAT-33	[1, 2, 3]
MAT-15	[0, 1, 2]
MAT-3	[0, 2, 3]
MAT-3	[0, 2, 3]
MAT-15	[0, 1, 2]
MAT-0	[0, 0, 1]
MAT-3	[0, 2, 3]
MAT-14	[0, 0, 4]
MAT-3	[0, 2, 3]
MAT-45	[1, 3, 4]
MAT-45	[1, 3, 4]
MAT-3	[0, 2, 3]
MAT-45	[1, 3, 4]
MAT-33	[1, 2, 3]
MAT-0	[0, 0, 1]
MAT-3	[0, 2, 3]
MAT-33	[1, 2, 3]
MAT-14	[0, 0, 4]
MAT-15	[0, 1, 2]
